Site,Structure,Root Code,SV,Saleable,Barcode,Description,Barcode Component,SV,Description Component,Quantity,Saleable
11252,41020,100556172,1,Y ,48850188170206,WBPนกเหยี่ยวนมข้นจืด 360มล P48 ,8850188170208,0,นกเหยี่ยวนมข้นจืด 360 มล. ,48,Y 
11252,41020,100579188,1,Y ,18850151061110,WBPมะลิ นมข้นหวาน 355 กรัม P48 ,8850151961116,0,มะลินมข้นหวาน กป 355 กรัม ,48,Y 
11252,41020,100579189,1,Y ,18850151065118,WBPเบิดวิงซ์ครีมข้นหวาน370GP48 ,8850151965114,0,เบิรดวิงครีมเทียมข้นหวานกป370ก ,48,Y 
11252,41020,100613815,2,Y ,8850128000114,WBPเนสกาแฟเรดคัพคั่วบด40ก P24 ,8850128030111,0,เนสกาแฟเรดคัพ MRC-ARC ดอย 40ก ,24,Y 
11252,41020,100613815,1,N ,8850128000121,WBPเนสกาแฟเรดคัพคั่วบด 45ก P96 ,8850128030111,0,เนสกาแฟเรดคัพ MRC-ARC ดอย 40ก ,96,Y 
11252,41020,100613857,1,Y ,98850128030282,WBPเนสกาแฟเรดคัพ 360 กรัม P18 ,8850128030074,0,เนสกาแฟเรดคัพ360ก กล่อง ,18,N 
11252,41020,100613867,1,Y ,78851012011314,WBPคาร์เนชันครีมข้นหวาน388กP48 ,8851012011315,0,คาเนชันครีมเทียมข้นหวาน กป388ก ,48,Y 
11252,41020,100665041,1,Y ,48850188140209,WBPนกเหยี่ยวครีมข้นหวาน370กP48 ,8850188140201,0,นกเหยี่ยวครีมเทียขนหวาน กป370ก ,48,Y 
11252,41020,100705404,1,N ,8850127004434,WBPเนสกาแฟ เอสเปรสโซ P27X24ถุง ,8850127004410,0,เนสกาแฟ3อิน1 เอสเปรสโซ15.1กX27 ,24,Y 
11252,41020,100730949,1,Y ,8850124018212,WBPคาร์เนชั่น นมจืด 405ก P48 ,8850124018205,0,คาร์เนชั่นนมข้นจืด กป 405ก ,48,Y 
11252,41020,100740825,1,Y ,8850124002945,WBPเนสกาแฟเรดคัพ 2ก 48ซอง P20 ,8850124002938,0,เนสกาแฟเรดคัพ MRC-ARC 2กX48 ,20,Y 
11252,41020,100813628,1,Y ,18850151053115,WBPออร์คิดครีมเทียมหวาน380GP48 ,8850151953111,0,ออร์คิดครีมเทียมข้นหวาน กป370ก ,48,N 
11252,41020,100827335,2,N ,8850127004403,WBPเนสกาแฟบรูริชอโรมาP27X24ถุง ,8850127004397,0,เนสกาแฟ3อิน1 ริชอโรมา 16กX27 ,24,Y 
11252,41020,100918972,2,Y ,8850124071002,WBPคาร์เนชันครีมเอกตร้า385กP48 ,8850124070999,0,คาเนชันEXTRAครีมพรองไขมันกป385 ,48,Y 
11252,41020,100918972,1,Y ,8850124071002,WBPคาร์เนชันครีมเอกตร้า385กP48 ,8850124070999,0,คาเนชันEXTRAครีมพรองไขมันกป385 ,48,Y 
11252,41020,100975816,1,N ,8850762060062,WBPพาเลซครีมเทียมขนหวาน380กP48 ,8850762050230,0,พาเลซครีมเทยมข้นหวาพรองไขกป380 ,48,N 
11252,41020,101027799,1,Y ,18850151981128,ครีมเทียมพร่องมะลิ ก385กX48 ,8850151981121,0,มะลิโกลครีมเทียมพร่อง กป 385ก ,48,Y 
11252,41020,101051914,1,Y ,48858705601172,WBPทีพอทครีมเทียมขนหวาน380กP48 ,8858705601167,0,ทีพอทครีมเทียมพรองมนเนย กป380ก ,48,Y 
11252,41020,101051917,1,Y ,48858705601684,WBPทีพอทครีมเทียมเอกตรา385กP48 ,8858705601679,0,ทีพอทEXTRAครีมเทยมพรองไขกป385ก ,48,Y 
11252,41020,101312523,1,N ,18850151951022,WBPมะลิโกลดครีมเทียมข้น380กP48 ,8850151951018,0,มะลิครีมเทียมข้นหวานโกล กป380ก ,48,Y 
11252,41020,101458031,1,Y ,8850389300213,P_PACKเพรียวคลอโรฟิลผง4.25ก*48 ,8850389300183,0,P_เพรียว คลอโรฟิลล์ชนิดผง 4.25 กรัม ,48,Y 
11252,41020,102163332,1,Y ,8850124037480,WBPคาร์เนชั่นครีมเทียมข้น2กกP8 ,8850124037473,0,WBPคาร์เนชัน ครีมข้นหวานถุง2กก ,8,Y 
11252,41020,102169146,1,Y ,8852099213135,BIGCกาแฟสำเร็จรูป200ก.ขวดP12 ,8852099213128,0,BIGCกาแฟสำเร็จรูป200ก.(ขวด) ,12,N 
11252,41020,102169149,1,Y ,8852099215238,BIGCกาแฟสำเร็จรูป380G.P12 ,8852099215221,0,BIGCกาแฟสำเร็จรูป380G. ,12,N 
11252,41020,102172669,1,Y ,8852114909838,BIGCครีมเทียม 900G.กล่องP12 ,8852114902808,0,BIGCครีมเทียม 900G.กล่อง ,12,N 
11252,41020,102172671,1,Y ,8852114909234,BIGCครีมเทียม200ก.ซองตั้งP60 ,8852114901276,0,BIGCครีมเทียม200 กรัม ซองตั้ง ,60,N 
11252,41020,102172711,1,N ,8850762050193,BIGC ครีมเทียมข้นหวาน380G P48 ,8850762060055,0,BIGC ครีมเทียมข้นหวานพร่องมันเนย380G ,48,N 
11252,41020,102233706,1,Y ,8850370771527,ชาตรามือชาไทย 3IN1 100กรัมX4 ,8850370771459,0,ชาตรามือชาไทย 3IN1 20กรัมX5ซอง ,4,Y 
11252,41020,102330608,1,N ,8850125073357,BPเนสกาแฟเรดคัพเอส330ก*18แพค ,8850125072800,0,เนสกาแฟเอสเปรสโซ่330ก กล่อง ,18,N 
11252,41020,102494180,1,Y ,8850151951384,มะลิข้นหวานหลอดบีบ 170 ก แพค12 ,8850151951377,0,มะลินมข้นหวานหลอดบีบ 170 ก ,12,Y 
11252,41020,102532136,1,Y ,8858705609286,ทีพอทนมข้นหวานนมสดหลอดบีบ180ก ,8858705607572,0,ทีพอทข้นหวานนมสดหลอดบีบ180กรัม ,8,Y 
11252,41020,102532137,1,Y ,8858705609309,ทีพอทนมข้นช็อกหลอด180*8 ,8858705607541,0,ทีพอทข้นหวานชอคโกแลหลอดบีบ180G ,8,Y 
11252,41020,102894097,1,Y ,8858705601235,WBPทีพอท ครีมเทียมข้นหวาน2กกP8 ,8858705601228,0,WBPทีพอท ครีมเทียมข้นหวาน 2กก. ,8,Y 
11252,41020,102911565,1,N ,18850151951206,BPมะลินมข้นหวาน2กก.P10 ,8850151951209,0,WBPมะลิ ผลิตภัณฑ์นมข้นหวาน 2กก ,10,Y 
