DIVISION_NAME,DEPARTMENT_NAME,ART_SV_NAME,BARCODE,UOM,END_QTY,NORMAL_COST
02 HOME LINE,0210 HOUSEWARE,BESICOมีดเขียงไม้BUCK01,2000007223899,pc,28,113.848
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,3เอ็มเทปโฟมใส ไดคัท25มมX25มม,8850304231622,pc,13,49
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,M&Gไม้บรรทัด15CMSNOOPYSRL960BK,6942109536889,pc,12,10.5
04 DRY FOOD,0470 HOUSEHOLD,สปาคลีนดันฝุ่นคาโมมายล์ 250มล,8858814209308,mL,15,59.065
02 HOME LINE,0210 HOUSEWARE,แปรงข้ดฝอยสเตนด้ามส้มA POLY,8850871221002,pc,16,27.35
04 DRY FOOD,0460 HBA,เฮดแชมพูสมูทแอนด์ซิลกี้370มล,4902430430999,mL,9,148.21
04 DRY FOOD,0420 SWEETED GROCE.2,แคดเบอรีแดรีมิลค์ดอยแบ็ค 135ก.,7622210758583,g,12,100.93
02 HOME LINE,0240 HOME IMPROVEMEN,FFT-5204Zก็อกซิงค์วงโค้ง,8851128138487,pc,6,300
04 DRY FOOD,0461 FACE & COSMETICS,บิโอเรคลีนซิ่งออยเคลีย400มล,8851818341401,mL,5,178.71
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,P_VTมารีนคอลลา1300มล14S,8851515607268,pc,4,84.39
02 HOME LINE,0240 HOME IMPROVEMEN,กุญแจ ISON สปริง 25 มม.(แพ็ค),8851581029612,,5,27.542
02 HOME LINE,0230 RECREATION,TRI กระเป๋าใส่พาสปอร์ต,8854502036669,pc,8,65
06 PHARMACY,0620 OVER THE COUNTER,P_น้ำยาฆ่าเชื้อโรคเดทตอล1000มล,8850360034106,mL,1,618.97
04 DRY FOOD,0460 HBA,ก๊กเลี้ยงแชมพูสตรองวอลลุ่ม200,8850602022137,mL,27,48.364
02 HOME LINE,0210 HOUSEWARE,BHP แก้วชานอ้อย 260 มล.10ใบ,8857118170703,,16,20.5
04 DRY FOOD,0460 HBA,แป้งเด็กไร้ซแคร์ฟ้า 130ก.,8857121576110,g,49,68.469
04 DRY FOOD,0461 FACE & COSMETICS,นีเวีย ซัน ออยล์ คอนโทรล 7มล,42417507,mL,14,20.32
02 HOME LINE,0210 HOUSEWARE,BKS ที่คีบอาหาร ไนล่อน 28.5ซม.,2000008639675,pc,4,27.194
05 FRESH FOOD,0560 PERISHABLE,IMP_อูโด้งสด,8801085020301,g,0,24.9
04 DRY FOOD,0440 BEVERAGE,IMP_โซกู้ดผสมอัลมอนด์ไม่น้ำตาล,9300652803495,,12,98.63
04 DRY FOOD,0461 FACE & COSMETICS,ลิปไอซ์เมจิคมิกซ์เบอร์รี่2ก,9555669204357,pc,12,90.25
05 FRESH FOOD,0560 PERISHABLE,สไมลน้ำส้มเขียวหวานแพ็คคู่,8852108110646,L,3,141.03
06 PHARMACY,0620 OVER THE COUNTER,P_วันเกิร์ด แบบขวด  150มล,8852673000847,mL,2,209.72
02 HOME LINE,0240 HOME IMPROVEMEN,YAGEไฟฉาย LED S018,6925263653340,pc,5,65
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,BRR ปากกาลบได้ 0.5 MM MM32910,8856602096390,pc,5,18
04 DRY FOOD,0460 HBA,กาล่า แฮร์ฟอลคอนโทรล แชมพู 120,8852522247515,mL,24,25.25
04 DRY FOOD,0440 BEVERAGE,สปอนเซอร์ออริจินัล 420 มล.P6,8850228006986,mL,16,66.468
04 DRY FOOD,0430 SALTED GROCERY,พริกไทยเม็ดขาวขวด ไร่ทิพย์ 60 กรัม,8851683000540,g,17,26
06 PHARMACY,0610 PRESCRIPTION,P_ดีคอลเจน พริน 4 เม็ด กล่อง 25 แผง,8851824336354,pc,2.52,180
04 DRY FOOD,0461 FACE & COSMETICS,BBทูอินวันไลน์เนอร์#1,8858842095287,pc,6,66.542
06 PHARMACY,0610 PRESCRIPTION,P_AVAMIGRAN  FOIL 10S *NEW*,8858789600858,unit,2,49.77
04 DRY FOOD,0460 HBA,นีเวียดีโอ เพิลร์ แอนด์ บิวตี้ โรลออน 50 มล.,8850029212845,pc,8,80.62
